province,male,female,age
Prov. Sulawesi Utara,86047,80726,20-24
Prov. Sulawesi Utara,90966,84968,25-29
Prov. Sulawesi Utara,94451,89947,30-34
Prov. Sulawesi Utara,96707,92019,35-39
Prov. Sulawesi Utara,88012,82468,40-44
Prov. Sulawesi Utara,72704,68953,45-49
Prov. Sulawesi Utara,64830,60904,50-54
Prov. Sulawesi Utara,50174,47783,55-59
Prov. Sulawesi Utara,32394,32424,60-64
Prov. Sulawesi Utara,55577,71011,65+
Prov. Sumatera Barat,259189,244052,0-4
Prov. Sumatera Barat,270517,252310,5-9
Prov. Sumatera Barat,267777,253206,10-14
Prov. Sumatera Barat,220577,220658,15-19
Prov. Sumatera Barat,185002,192832,20-24
Prov. Sumatera Barat,191612,194391,25-29
Prov. Sumatera Barat,182431,180711,30-34
Prov. Sumatera Barat,166510,168141,35-39
Prov. Sumatera Barat,147302,150685,40-44
Prov. Sumatera Barat,131755,139681,45-49
Prov. Sumatera Barat,120970,126700,50-54
Prov. Sumatera Barat,94158,93926,55-59
Prov. Sumatera Barat,56136,60948,60-64
Prov. Sumatera Barat,110441,164291,65+
Prov. Sumatera Selatan,394111,372732,0-4
Prov. Sumatera Selatan,391031,367683,5-9
Prov. Sumatera Selatan,373668,354357,10-14
Prov. Sumatera Selatan,349922,333865,15-19
Prov. Sumatera Selatan,360004,352909,20-24
Prov. Sumatera Selatan,361902,347759,25-29
Prov. Sumatera Selatan,323297,308458,30-34
Prov. Sumatera Selatan,281527,268036,35-39
Prov. Sumatera Selatan,239570,234391,40-44
Prov. Sumatera Selatan,204848,201534,45-49
Prov. Sumatera Selatan,171108,160661,50-54
Prov. Sumatera Selatan,122957,109510,55-59
Prov. Sumatera Selatan,79147,82307,60-64
Prov. Sumatera Selatan,139555,163545,65+
Prov. Sumatera Utara,742227,704319,0-4
Prov. Sumatera Utara,748676,703899,5-9
Prov. Sumatera Utara,721606,682178,10-14
Prov. Sumatera Utara,638440,622867,15-19
Prov. Sumatera Utara,549021,558356,20-24
Prov. Sumatera Utara,550112,552675,25-29
Prov. Sumatera Utara,493385,491206,30-34
Prov. Sumatera Utara,447411,454270,35-39
Prov. Sumatera Utara,399979,411281,40-44
Prov. Sumatera Utara,344206,359752,45-49
Prov. Sumatera Utara,292971,298876,50-54
Prov. Sumatera Utara,208870,210820,55-59
Prov. Sumatera Utara,121696,139439,60-64
Prov. Sumatera Utara,209852,293726,65+
